# depth_mm,edep_keV_per_event
0.25,52.918
0.75,54.030857
1.25,54.721758
1.75,55.384473
2.25,55.848119
2.75,56.425127
3.25,56.830871
3.75,57.403364
4.25,57.994081
4.75,58.67606
5.25,59.435024
5.75,60.070594
6.25,60.635327
6.75,61.44517
7.25,62.164906
7.75,63.044261
8.25,63.954621
8.75,64.901479
9.25,65.692458
9.75,66.898038
10.25,67.773625
10.75,68.8999
11.25,70.033195
11.75,71.095199
12.25,72.604329
12.75,73.895775
13.25,75.229756
13.75,76.660758
14.25,78.459328
14.75,80.12996
15.25,82.240722
15.75,83.930336
16.25,86.574304
16.75,88.687093
17.25,91.631753
17.75,94.363903
18.25,97.643191
18.75,101.17517
19.25,105.31465
19.75,109.46174
20.25,113.22049
20.75,116.85115
21.25,119.90781
21.75,121.34645
22.25,120.95932
22.75,116.91847
23.25,109.19973
23.75,97.067673
24.25,81.39522
24.75,63.513225
25.25,44.908455
25.75,24.18375
26.25,5.8353208
26.75,0.35950824
27.25,0.0008556168
27.75,0
28.25,0
28.75,0
29.25,0
29.75,0
30.25,0
30.75,0
31.25,0
31.75,0
32.25,0
32.75,0
33.25,0
33.75,0
34.25,0
34.75,0
35.25,0
35.75,0
36.25,0
36.75,0
37.25,0
37.75,0
38.25,0
38.75,0
39.25,0
39.75,0
40.25,0
40.75,0
41.25,0
41.75,0
42.25,0
42.75,0
43.25,0
43.75,0
44.25,0
44.75,0
45.25,0
45.75,0
46.25,0
46.75,0
47.25,0
47.75,0
48.25,0
48.75,0
49.25,0
49.75,0
50.25,0
50.75,0
51.25,0
51.75,0
52.25,0
52.75,0
53.25,0
53.75,0
54.25,0
54.75,0
55.25,0
55.75,0
56.25,0
56.75,0
57.25,0
57.75,0
58.25,0
58.75,0
59.25,0
59.75,0
60.25,0
60.75,0
61.25,0
61.75,0
62.25,0
62.75,0
63.25,0
63.75,0
64.25,0
64.75,0
65.25,0
65.75,0
66.25,0
66.75,0
67.25,0
67.75,0
68.25,0
68.75,0
69.25,0
69.75,0
70.25,0
70.75,0
71.25,0
71.75,0
72.25,0
72.75,0
73.25,0
73.75,0
74.25,0
74.75,0
75.25,0
75.75,0
76.25,0
76.75,0
77.25,0
77.75,0
78.25,0
78.75,0
79.25,0
79.75,0
80.25,0
80.75,0
81.25,0
81.75,0
82.25,0
82.75,0
83.25,0
83.75,0
84.25,0
84.75,0
85.25,0
85.75,0
86.25,0
86.75,0
87.25,0
87.75,0
88.25,0
88.75,0
89.25,0
89.75,0
90.25,0
90.75,0
91.25,0
91.75,0
92.25,0
92.75,0
93.25,0
93.75,0
94.25,0
94.75,0
95.25,0
95.75,0
96.25,0
96.75,0
97.25,0
97.75,0
98.25,0
98.75,0
99.25,0
99.75,0
