# depth_mm,edep_keV_per_event
0.0002,51.060068
0.0006,51.357143
0.001,51.756542
0.0014,52.122473
0.0018,52.362523
0.0022,52.651542
0.0026,52.967559
0.003,53.354101
0.0034,53.836865
0.0038,54.099721
0.0042,54.408415
0.0046,54.673001
0.005,55.189508
0.0054,55.72967
0.0058,55.905786
0.0062,56.372107
0.0066,56.790545
0.007,57.040323
0.0074,57.594527
0.0078,58.181332
0.0082,58.564753
0.0086,58.924768
0.009,59.425823
0.0094,59.931271
0.0098,60.365921
0.0102,60.831319
0.0106,61.432425
0.011,62.010638
0.0114,62.577993
0.0118,63.055704
0.0122,63.590128
0.0126,64.242958
0.013,64.784138
0.0134,65.671134
0.0138,66.358991
0.0142,66.790426
0.0146,67.699903
0.015,68.464983
0.0154,69.177626
0.0158,69.889077
0.0162,70.924421
0.0166,71.637952
0.017,72.399388
0.0174,73.573193
0.0178,74.176062
0.0182,75.295636
0.0186,76.384995
0.019,77.344623
0.0194,78.488765
0.0198,79.577575
0.0202,80.839655
0.0206,82.002316
0.021,83.138389
0.0214,84.482023
0.0218,85.75666
0.0222,87.172698
0.0226,89.061065
0.023,90.534658
0.0234,92.32382
0.0238,94.24749
0.0242,95.996947
0.0246,98.28821
0.025,100.38457
0.0254,103.01841
0.0258,105.17824
0.0262,107.9306
0.0266,111.28134
0.027,114.63958
0.0274,117.99574
0.0278,121.22829
0.0282,124.84232
0.0286,128.4252
0.029,131.00866
0.0294,131.95644
0.0298,128.78512
0.0302,116.60221
0.0306,92.544609
0.031,59.165719
0.0314,24.65923
0.0318,5.0873104
0.0322,0.3837633
0.0326,0.007801196
0.033,0
0.0334,0
0.0338,0
0.0342,0
0.0346,0
0.035,0
0.0354,0
0.0358,0
0.0362,0
0.0366,0
0.037,0
0.0374,0
0.0378,0
0.0382,0
0.0386,0
0.039,0
0.0394,0
0.0398,0
0.0402,0
0.0406,0
0.041,0
0.0414,0
0.0418,0
0.0422,0
0.0426,0
0.043,0
0.0434,0
0.0438,0
0.0442,0
0.0446,0
0.045,0
0.0454,0
0.0458,0
0.0462,0
0.0466,0
0.047,0
0.0474,0
0.0478,0
0.0482,0
0.0486,0
0.049,0
0.0494,0
0.0498,0
0.0502,0
0.0506,0
0.051,0
0.0514,0
0.0518,0
0.0522,0
0.0526,0
0.053,0
0.0534,0
0.0538,0
0.0542,0
0.0546,0
0.055,0
0.0554,0
0.0558,0
0.0562,0
0.0566,0
0.057,0
0.0574,0
0.0578,0
0.0582,0
0.0586,0
0.059,0
0.0594,0
0.0598,0
0.0602,0
0.0606,0
0.061,0
0.0614,0
0.0618,0
0.0622,0
0.0626,0
0.063,0
0.0634,0
0.0638,0
0.0642,0
0.0646,0
0.065,0
0.0654,0
0.0658,0
0.0662,0
0.0666,0
0.067,0
0.0674,0
0.0678,0
0.0682,0
0.0686,0
0.069,0
0.0694,0
0.0698,0
0.0702,0
0.0706,0
0.071,0
0.0714,0
0.0718,0
0.0722,0
0.0726,0
0.073,0
0.0734,0
0.0738,0
0.0742,0
0.0746,0
0.075,0
0.0754,0
0.0758,0
0.0762,0
0.0766,0
0.077,0
0.0774,0
0.0778,0
0.0782,0
0.0786,0
0.079,0
0.0794,0
0.0798,0
